Model_Trained_On	Model_Tested_On	Dice_Score	AUROC	AUPRC	Precision	Recall	Specificity	Jaccard/IOU
BraTS20	BraTS20	63.55%	92.02%	67.02%	64.72%	72.97%	96.25%	52.8%
BraTS21	BraTS21	65.87%	92.29%	69.85%	68.75%	71.35%	97.34%	54.47%
BraTS23	BraTS23	62.83%	89.46%	52.71%	60.1%	83.4%	95.51%	53.58%
MSD	MSD	55.66%	87.79%	57.03%	57.6%	64.05%	95.2%	44.27%
								
BraTS20	BraTS20	63.55%	92.02%	67.02%	64.72%	72.97%	96.25%	52.8%
BraTS20	BraTS21	64.19%	92.45%	67.5%	66.03%	72.74%	96.66%	52.81%
BraTS20	BraTS23	50.4%	86.47%	51.92%	50.86%	62.79%	93.88%	39.83%
BraTS20	MSD	55.63%	80.42%	44.02%	56.77%	65.88%	94.96%	44.44%
								
BraTS21	BraTS20	64.48%	91.37%	68.23%	67.31%	69.31%	96.98%	53.17%
BraTS21	BraTS21	65.87%	92.29%	69.85%	68.75%	71.35%	97.34%	54.47%
BraTS21	BraTS23	53.67%	88.98%	56.43%	53.48%	68.56%	93.69%	43.34%
BraTS21	MSD	57.14%	79.82%	45.51%	59.72%	63.92%	95.72%	45.74%
								
BraTS23	BraTS20	47.24%	73.25%	36.83%	48.63%	51.75%	94.74%	36.45%
BraTS23	BraTS21	43.47%	70.79%	34.01%	45.63%	47.02%	94.56%	33.17%
BraTS23	BraTS23	62.83%	89.46%	52.71%	60.1%	83.4%	95.51%	53.58%
BraTS23	MSD	43.57%	71.9%	33.67%	43.98%	50.69%	93.11%	33.52%
MSD	BraTS20	62.06%	81.59%	50.6%	65.45%	66.48%	96.7%	50.5%
MSD	BraTS21	63.53%	82.67%	51.72%	67.44%	68.27%	97.1%	51.65%
MSD	BraTS23	50.25%	78.38%	38.39%	50.43%	62.91%	93.9%	39.66%
MSD	MSD	55.66%	87.79%	57.03%	57.6%	64.05%	95.2%	44.27%
